2023-12-08 11:42:45.575+0000 INFO  id: 7D4FFD549FD867306BD5665292492C8F4E674DD43637B66FF3832389C1AF3AA6
2023-12-08 11:42:45.576+0000 INFO  name: system
2023-12-08 11:42:45.577+0000 INFO  creationDate: 2023-12-08T11:13:37.095Z
2023-12-08 11:42:45.577+0000 INFO  Started.
2023-12-08 11:55:32.294+0000 INFO  Logging config in use: Embedded default config 'default-user-logs.xml'
2023-12-08 11:55:32.297+0000 WARN  Use of deprecated setting 'dbms.directories.run'. It is replaced by 'server.directories.run'.
2023-12-08 11:55:32.298+0000 INFO  Starting...
2023-12-08 11:55:32.757+0000 INFO  This instance is ServerId{cd98db23} (cd98db23-5adf-48b3-b243-25214eb3a502)
2023-12-08 11:55:33.109+0000 INFO  ======== Neo4j 5.13.0 ========
2023-12-08 11:55:33.878+0000 INFO  Bolt enabled on 0.0.0.0:7687.
2023-12-08 11:55:34.208+0000 INFO  HTTP enabled on 0.0.0.0:7474.
2023-12-08 11:55:34.210+0000 INFO  Remote interface available at http://localhost:7474/
2023-12-08 11:55:34.212+0000 INFO  id: 7D4FFD549FD867306BD5665292492C8F4E674DD43637B66FF3832389C1AF3AA6
2023-12-08 11:55:34.213+0000 INFO  name: system
2023-12-08 11:55:34.214+0000 INFO  creationDate: 2023-12-08T11:13:37.095Z
2023-12-08 11:55:34.215+0000 INFO  Started.
2023-12-10 12:19:24.046+0000 INFO  Neo4j Server shutdown initiated by request
2023-12-10 12:19:24.050+0000 INFO  Stopping...
2023-12-10 12:19:29.161+0000 INFO  Stopped.
2023-12-10 12:19:31.272+0000 INFO  Logging config in use: Embedded default config 'default-user-logs.xml'
2023-12-10 12:19:31.275+0000 WARN  Use of deprecated setting 'dbms.directories.run'. It is replaced by 'server.directories.run'.
2023-12-10 12:19:31.277+0000 INFO  Starting...
2023-12-10 12:19:31.778+0000 INFO  This instance is ServerId{cd98db23} (cd98db23-5adf-48b3-b243-25214eb3a502)
2023-12-10 12:19:32.152+0000 INFO  ======== Neo4j 5.13.0 ========
2023-12-10 12:19:33.120+0000 INFO  Bolt enabled on 0.0.0.0:7687.
2023-12-10 12:19:33.488+0000 INFO  HTTP enabled on 0.0.0.0:7474.
2023-12-10 12:19:33.490+0000 INFO  Remote interface available at http://localhost:7474/
2023-12-10 12:19:33.493+0000 INFO  id: 7D4FFD549FD867306BD5665292492C8F4E674DD43637B66FF3832389C1AF3AA6
2023-12-10 12:19:33.493+0000 INFO  name: system
2023-12-10 12:19:33.494+0000 INFO  creationDate: 2023-12-08T11:13:37.095Z
2023-12-10 12:19:33.495+0000 INFO  Started.
2023-12-10 12:20:15.477+0000 WARN  [bolt-2] Terminating connection due to network error
org.neo4j.bolt.protocol.error.streaming.BoltStreamingWriteException: Failed to transmit operation result: Response write failure
	at org.neo4j.bolt.protocol.common.fsm.response.NetworkResponseHandler.onSuccess(NetworkResponseHandler.java:184) ~[neo4j-bolt-5.13.0.jar:5.13.0]
	at org.neo4j.bolt.protocol.common.connector.connection.AtomicSchedulingConnection.lambda$interrupt$6(AtomicSchedulingConnection.java:462) ~[neo4j-bolt-5.13.0.jar:5.13.0]
